_id,Anio_lectivo,Zona,Provincia,Cod_Provincia,Canton,Cod_Canton,Parroquia,Cod_Parroquia,Nombre_Institucion,AMIE,Tipo_Educacion,Sostenimiento,Area,Regimen_Escolar,Jurisdiccion,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Ecuatoriana,Colombiana,Venezolana,Peruana,Otros_Paises_de_America,Otros_Continentes
67900d906dbcb30ffd0076b7,2011-2012 Inicio,Zona 5,GUAYAS,9,PALESTINA,913,PALESTINA,91350,DE JULIO,09H04476,Ordinario,Municipal,Urbana,Costa,Intercultural,2,0,2,19,26,45,45,0,0,0,0,0
67900d906dbcb30ffd0076c2,2011-2012 Inicio,Zona 5,GUAYAS,9,PALESTINA,913,PALESTINA,91350,24 DE AGOSTO,09H04487,Ordinario,Municipal,Urbana,Costa,Intercultural,2,0,2,27,37,64,64,0,0,0,0,0
67900d906dbcb30ffd007724,2011-2012 Inicio,Zona 8,GUAYAS,9,SAMBORONDON,916,SAMBORONDON,91601,NUEVA NARCISA,09H04615,Ordinario,Municipal,Urbana,Costa,Intercultural,1,0,1,13,12,25,25,0,0,0,0,0
67900d906dbcb30ffd007726,2011-2012 Inicio,Zona 8,GUAYAS,9,SAMBORONDON,916,SAMBORONDON,91601,EL PARAISO,09H04618,Ordinario,Municipal,Urbana,Costa,Intercultural,0,1,1,1,1,2,2,0,0,0,0,0
67900d906dbcb30ffd007733,2011-2012 Inicio,Zona 8,GUAYAS,9,SAMBORONDON,916,SAMBORONDON,91601,PRIMERO DE MAYO,09H04634,Ordinario,Municipal,Urbana,Costa,Intercultural,0,1,1,5,15,20,20,0,0,0,0,0
67900d906dbcb30ffd00773a,2011-2012 Inicio,Zona 8,GUAYAS,9,SAMBORONDON,916,SAMBORONDON,91601,DOLORES VARGAS DESIDERIO,09H04642,Ordinario,Municipal,Urbana,Costa,Intercultural,4,1,5,32,33,65,65,0,0,0,0,0
67900d906dbcb30ffd007759,2011-2012 Inicio,Zona 8,GUAYAS,9,SAMBORONDON,916,TARIFA,91651,LUCILA VARGAS DE MARTILLO,09H04677,Ordinario,Municipal,Rural,Costa,Intercultural,5,1,6,42,41,83,83,0,0,0,0,0
67900d906dbcb30ffd00775c,2011-2012 Inicio,Zona 8,GUAYAS,9,SAMBORONDON,916,TARIFA,91651,ARTURO DUMANI MENDEZ,09H04680,Ordinario,Municipal,Rural,Costa,Intercultural,3,0,3,50,62,112,112,0,0,0,0,0
67900d906dbcb30ffd00775e,2011-2012 Inicio,Zona 8,GUAYAS,9,SAMBORONDON,916,TARIFA,91651,JUAN NAVARRO RIPALDA,09H04682,Ordinario,Municipal,Rural,Costa,Intercultural,3,1,4,28,27,55,55,0,0,0,0,0
67900d906dbcb30ffd007766,2011-2012 Inicio,Zona 8,GUAYAS,9,SAMBORONDON,916,TARIFA,91651,ELOY ALFARO 1,09H04690,Ordinario,Municipal,Rural,Costa,Intercultural,16,1,17,143,173,316,316,0,0,0,0,0
67900d906dbcb30ffd00776a,2011-2012 Inicio,Zona 8,GUAYAS,9,SAMBORONDON,916,TARIFA,91651,BUIJO,09H04695,Ordinario,Municipal,Rural,Costa,Intercultural,0,0,0,22,31,53,53,0,0,0,0,0
67900d906dbcb30ffd00776d,2011-2012 Inicio,Zona 8,GUAYAS,9,SAMBORONDON,916,TARIFA,91651,GENERAL GOMEZ 7,09H04698,Ordinario,Municipal,Rural,Costa,Intercultural,4,0,4,31,57,88,88,0,0,0,0,0
67900d906dbcb30ffd007771,2011-2012 Inicio,Zona 8,GUAYAS,9,SAMBORONDON,916,TARIFA,91651,SAN ENRIQUE 5,09H04703,Ordinario,Municipal,Rural,Costa,Intercultural,6,0,6,50,49,99,99,0,0,0,0,0
67900d906dbcb30ffd007772,2011-2012 Inicio,Zona 8,GUAYAS,9,SAMBORONDON,916,TARIFA,91651,RAYITO DE LUZ,09H04704,Ordinario,Municipal,Rural,Costa,Intercultural,12,5,17,123,141,264,264,0,0,0,0,0
